iter	Passed	Remaining
0	139	139197
1	140	70295
2	142	47291
3	143	35830
4	145	29000
5	147	24379
6	148	21073
7	150	18603
8	151	16701
9	153	15156
10	154	13886
11	155	12830
12	157	11930
13	158	11160
14	159	10503
15	161	9928
16	163	9431
17	164	8972
18	166	8572
19	167	8214
20	169	7883
21	170	7584
22	172	7314
23	173	7063
24	175	6834
25	176	6623
26	178	6430
27	179	6244
28	181	6074
29	182	5916
30	184	5771
31	186	5629
32	187	5495
33	189	5378
34	190	5263
35	192	5152
36	194	5051
37	195	4953
38	197	4857
39	198	4767
40	199	4677
41	201	4591
42	202	4513
43	204	4440
44	205	4367
45	207	4301
46	209	4240
47	210	4179
48	212	4117
49	213	4059
50	215	4005
51	217	3957
52	218	3909
53	220	3858
54	221	3812
55	223	3764
56	224	3718
57	226	3673
58	227	3632
59	229	3593
60	230	3550
61	232	3511
62	233	3478
63	235	3442
64	236	3407
65	238	3373
66	239	3339
67	241	3308
68	242	3275
69	244	3245
70	245	3214
71	246	3182
72	248	3160
73	250	3133
74	252	3109
75	253	3085
76	255	3061
77	257	3038
78	258	3011
79	259	2984
80	260	2959
81	262	2937
82	263	2910
83	264	2889
84	266	2868
85	267	2847
86	269	2826
87	270	2807
88	272	2788
89	273	2769
90	275	2749
91	276	2729
92	278	2713
93	279	2697
94	281	2682
95	285	2684
96	286	2667
97	288	2653
98	289	2637
99	291	2625
100	293	2615
101	295	2599
102	296	2584
103	298	2568
104	299	2552
105	300	2537
106	302	2523
107	303	2508
108	305	2493
109	306	2478
110	307	2466
111	309	2456
112	311	2443
113	312	2430
114	314	2417
115	315	2404
116	316	2389
117	318	2377
118	319	2363
119	320	2353
120	322	2342
121	323	2330
122	325	2321
123	327	2311
124	328	2300
125	330	2289
126	331	2277
127	332	2268
128	334	2257
129	335	2246
130	337	2236
131	338	2227
132	340	2217
133	341	2208
134	343	2200
135	344	2191
136	346	2182
137	347	2171
138	349	2162
139	350	2153
140	351	2144
141	353	2133
142	354	2124
143	356	2116
144	357	2108
145	358	2099
146	360	2090
147	361	2081
148	363	2073
149	364	2067
150	366	2058
151	368	2054
152	369	2048
153	371	2040
154	372	2032
155	374	2027
156	376	2018
157	377	2012
158	378	2004
159	380	1996
160	381	1986
161	382	1980
162	384	1973
163	385	1966
164	387	1960
165	389	1954
166	390	1948
167	392	1941
168	393	1936
169	395	1929
170	396	1923
171	398	1918
172	400	1914
173	402	1909
174	404	1905
175	405	1899
176	407	1893
177	408	1887
178	410	1881
179	411	1874
180	413	1869
181	415	1865
182	416	1860
183	418	1854
184	419	1847
185	420	1841
186	421	1834
187	423	1828
188	424	1823
189	426	1817
190	427	1811
191	429	1806
192	430	1801
193	432	1795
194	433	1790
195	434	1784
196	436	1779
197	437	1773
198	439	1768
199	440	1762
200	442	1758
201	443	1753
202	445	1747
203	446	1742
204	448	1737
205	449	1732
206	450	1726
207	451	1720
208	453	1715
209	454	1709
210	455	1704
211	457	1700
212	458	1695
213	460	1689
214	461	1684
215	462	1680
216	464	1675
217	465	1669
218	466	1664
219	468	1659
220	469	1654
221	470	1649
222	472	1645
223	473	1641
224	475	1636
225	476	1632
226	477	1627
227	479	1622
228	480	1618
229	482	1614
230	483	1610
231	485	1606
232	486	1602
233	488	1599
234	490	1595
235	491	1591
236	493	1587
237	494	1583
238	495	1579
239	497	1575
240	498	1570
241	500	1566
242	501	1562
243	502	1558
244	504	1554
245	506	1551
246	507	1547
247	509	1544
248	510	1540
249	512	1536
250	513	1532
251	514	1528
252	516	1524
253	518	1521
254	519	1517
255	521	1514
256	522	1510
257	524	1507
258	525	1503
259	527	1500
260	528	1496
261	530	1492
262	531	1489
263	533	1487
264	534	1483
265	536	1480
266	538	1477
267	539	1473
268	540	1469
269	542	1465
